zone 1,zone 2,zone 3,zone 4,zone 5,zone 6
AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,BURGLARY
LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,BURGLARY,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,ROBBERY,LARCENY-FROM VEHICLE,BURGLARY,ROBBERY
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE
AUTO THEFT,ROBBERY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
AUTO THEFT,BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,ROBBERY,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,ROBBERY,AGG ASSAULT,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,HOMICIDE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AUTO THEFT,BURGLARY,ROBBERY,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT
BURGLARY,BURGLARY,AGG ASSAULT,BURGLARY,ROBBERY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,ROBBERY,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,ROBBERY,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AGG ASSAULT,AUTO THEFT,AUTO THEFT
BURGLARY,BURGLARY,ROBBERY,ROBBERY,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,ROBBERY,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,AGG ASSAULT,AUTO THEFT
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
