UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,191491668,05/29/2019,2687 ROSEMARY ST NW,103,Riverside,D,33.813380,-84.476040,
LARCENY-FROM VEHICLE,191492047,05/29/2019,360 MARIETTA ST NW @MBS LOT G,507,Downtown,M,33.762690,-84.397020,
LARCENY-FROM VEHICLE,191490160,05/29/2019,700 MCGRUDER ST NE,604,Old Fourth Ward,M,33.758600,-84.365130,
LARCENY-FROM VEHICLE,191490019,05/29/2019,736 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.773860,-84.363100,
LARCENY-FROM VEHICLE,191492081,05/29/2019,38 JOHN PORTMAN BLVD NE,509,Downtown,M,33.761040,-84.385760,
LARCENY-FROM VEHICLE,191490317,05/29/2019,2891 PARROT AVE NW,103,Whittier Mill Village,D,33.809570,-84.481900,
LARCENY-FROM VEHICLE,191490979,05/29/2019,879 LULLWATER PKWY NE,608,Druid Hills,N,33.778090,-84.332870,
LARCENY-FROM VEHICLE,191491311,05/29/2019,3849 BROWNS MILL RD SW,312,Glenrose Heights,Z,33.652790,-84.393610,
LARCENY-FROM VEHICLE,191490632,05/29/2019,146 TURMAN AVE,307,Lakewood Heights,Y,33.708500,-84.384230,
LARCENY-FROM VEHICLE,191491506,05/29/2019,3390 STRATFORD RD NE,208,North Buckhead,B,33.849830,-84.367790,
LARCENY-FROM VEHICLE,191492093,05/29/2019,70 COURTLAND ST NE,510,Downtown,M,33.756380,-84.384360,
LARCENY-FROM VEHICLE,191490012,05/29/2019,327 MEMORIAL DR SE,605,Grant Park,W,33.746560,-84.376790,
LARCENY-FROM VEHICLE,191492310,05/29/2019,600 PONCE DE LEON AVE NE,614,Midtown,E,33.773760,-84.367220,
LARCENY-FROM VEHICLE,191492136,05/29/2019,930 JUNIPER ST NE,503,Midtown,E,33.780000,-84.382720,
LARCENY-FROM VEHICLE,191492137,05/29/2019,3755 CARMIA DR SW,414,Princeton Lakes,P,33.655710,-84.509080,
LARCENY-FROM VEHICLE,191492295,05/29/2019,2 COPENHILL AVE NE,602,Inman Park,N,33.763500,-84.357340,
LARCENY-FROM VEHICLE,191492206,05/29/2019,1125 SEABOARD AVE NE,606,Reynoldstown,N,33.758210,-84.350460,
LARCENY-FROM VEHICLE,191492236,05/29/2019,195 MILLS ST NW,504,Downtown,M,33.765410,-84.393730,
