County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
"Carroll County, KY",5/20/2020,"5,460","4,915",545,10
"Carter County, KY",5/20/2020,"9,898","8,598","1,300",13.1
"Casey County, KY",5/20/2020,"6,858","6,265",593,8.6
"Christian County, KY",5/20/2020,"26,622","23,416","3,206",12
"Clark County, KY",5/20/2020,"16,912","15,305","1,607",9.5
"Clay County, KY",5/20/2020,"5,297","4,641",656,12.4
"Clinton County, KY",5/20/2020,"4,064","3,812",252,6.2
"Crittenden County, KY",5/20/2020,"3,834","3,554",280,7.3
"Cumberland County, KY",5/20/2020,"3,296","3,050",246,7.5
"Daviess County, KY",5/20/2020,"46,134","41,422","4,712",10.2
"Edmonson County, KY",5/20/2020,"4,617","3,976",641,13.9
"Elliott County, KY",5/20/2020,"2,101","1,826",275,13.1
"Estill County, KY",5/20/2020,"5,381","4,763",618,11.5
"Fayette County, KY",5/20/2020,"172,003","156,482","15,521",9
"Fleming County, KY",5/20/2020,"6,454","5,714",740,11.5
"Floyd County, KY",5/20/2020,"10,995","9,685","1,310",11.9
"Franklin County, KY",5/20/2020,"25,533","22,976","2,557",10
"Fulton County, KY",5/20/2020,"2,175","2,002",173,8
"Gallatin County, KY",5/20/2020,"4,083","3,675",408,10
"Garrard County, KY",5/20/2020,"7,531","6,820",711,9.4
"Grant County, KY",5/20/2020,"11,783","10,425","1,358",11.5
"Graves County, KY",5/20/2020,"15,791","14,529","1,262",8
"Grayson County, KY",5/20/2020,"11,302","10,011","1,291",11.4
"Green County, KY",5/20/2020,"5,197","4,747",450,8.7
"Greenup County, KY",5/20/2020,"13,685","11,947","1,738",12.7
"Hancock County, KY",5/20/2020,"4,031","3,481",550,13.6
"Hardin County, KY",5/20/2020,"49,329","43,242","6,087",12.3
"Harlan County, KY",5/20/2020,"6,546","5,561",985,15
"Harrison County, KY",5/20/2020,"9,021","8,158",863,9.6
"Hart County, KY",5/20/2020,"8,165","7,440",725,8.9
"Henderson County, KY",5/20/2020,"23,109","20,703","2,406",10.4
"Henry County, KY",5/20/2020,"8,060","7,226",834,10.3
"Hickman County, KY",5/20/2020,"1,853","1,734",119,6.4
"Hopkins County, KY",5/20/2020,"16,853","14,614","2,239",13.3
"Jackson County, KY",5/20/2020,"4,113","3,537",576,14
"Jefferson County, KY",5/20/2020,"386,186","340,828","45,358",11.7
"Jessamine County, KY",5/20/2020,"25,860","23,644","2,216",8.6
"Johnson County, KY",5/20/2020,"6,721","5,963",758,11.3
"Kenton County, KY",5/20/2020,"85,688","77,954","7,734",9
"Knott County, KY",5/20/2020,"4,312","3,870",442,10.3
"Knox County, KY",5/20/2020,"10,189","8,875","1,314",12.9
"Larue County, KY",5/20/2020,"6,081","5,337",744,12.2
"Laurel County, KY",5/20/2020,"25,184","22,273","2,911",11.6
"Lawrence County, KY",5/20/2020,"5,365","4,771",594,11.1
"Lee County, KY",5/20/2020,"2,107","1,888",219,10.4
"Leslie County, KY",5/20/2020,"2,656","2,295",361,13.6
"Letcher County, KY",5/20/2020,"6,251","5,444",807,12.9
"Lewis County, KY",5/20/2020,"4,788","4,118",670,14
"Lincoln County, KY",5/20/2020,"9,095","7,987","1,108",12.2
"Livingston County, KY",5/20/2020,"3,565","3,173",392,11
"Logan County, KY",5/20/2020,"12,664","11,595","1,069",8.4
"Lyon County, KY",5/20/2020,"3,003","2,802",201,6.7
"McCracken County, KY",5/20/2020,"28,524","25,420","3,104",10.9
"McCreary County, KY",5/20/2020,"4,847","4,343",504,10.4
"McLean County, KY",5/20/2020,"4,086","3,755",331,8.1
"Madison County, KY",5/20/2020,"44,955","40,422","4,533",10.1
"Magoffin County, KY",5/20/2020,"3,440","2,755",685,19.9
"Marion County, KY",5/20/2020,"10,409","8,796","1,613",15.5
"Marshall County, KY",5/20/2020,"15,154","13,854","1,300",8.6
"Martin County, KY",5/20/2020,"2,915","2,508",407,14
"Mason County, KY",5/20/2020,"7,321","6,380",941,12.9
"Meade County, KY",5/20/2020,"12,302","10,827","1,475",12
"Menifee County, KY",5/20/2020,"2,317","2,063",254,11
"Mercer County, KY",5/20/2020,"9,789","8,678","1,111",11.3
"Metcalfe County, KY",5/20/2020,"4,172","3,642",530,12.7
"Monroe County, KY",5/20/2020,"4,717","4,403",314,6.7
"Montgomery County, KY",5/20/2020,"12,043","10,568","1,475",12.2
"Morgan County, KY",5/20/2020,"4,637","4,257",380,8.2
"Muhlenberg County, KY",5/20/2020,"10,723","9,483","1,240",11.6
"Nelson County, KY",5/20/2020,"23,968","20,948","3,020",12.6
"Nicholas County, KY",5/20/2020,"3,440","3,071",369,10.7
"Ohio County, KY",5/20/2020,"10,175","9,151","1,024",10.1
"Oldham County, KY",5/20/2020,"31,564","28,761","2,803",8.9
"Owen County, KY",5/20/2020,"5,226","4,689",537,10.3
"Owsley County, KY",5/20/2020,"1,147","1,050",97,8.5
"Pendleton County, KY",5/20/2020,"6,731","6,248",483,7.2
"Perry County, KY",5/20/2020,"8,133","7,155",978,12
"Pike County, KY",5/20/2020,"18,872","16,616","2,256",12
"Powell County, KY",5/20/2020,"4,991","4,478",513,10.3
"Pulaski County, KY",5/20/2020,"27,368","24,229","3,139",11.5
"Robertson County, KY",5/20/2020,835,773,62,7.4
"Rockcastle County, KY",5/20/2020,"6,481","5,664",817,12.6
"Rowan County, KY",5/20/2020,"10,510","9,343","1,167",11.1
"Russell County, KY",5/20/2020,"6,576","5,693",883,13.4
"Scott County, KY",5/20/2020,"29,006","26,046","2,960",10.2
"Shelby County, KY",5/20/2020,"24,713","22,266","2,447",9.9
"Simpson County, KY",5/20/2020,"9,337","8,204","1,133",12.1
"Spencer County, KY",5/20/2020,"9,977","8,782","1,195",12
"Taylor County, KY",5/20/2020,"12,566","11,153","1,413",11.2
"Todd County, KY",5/20/2020,"5,552","5,159",393,7.1
"Trigg County, KY",5/20/2020,"6,381","5,745",636,10
"Trimble County, KY",5/20/2020,"3,894","3,358",536,13.8
"Union County, KY",5/20/2020,"6,207","5,504",703,11.3
"Warren County, KY",5/20/2020,"61,212","53,735","7,477",12.2
"Washington County, KY",5/20/2020,"6,748","6,019",729,10.8
"Wayne County, KY",5/20/2020,"7,560","6,925",635,8.4
"Webster County, KY",5/20/2020,"5,803","5,243",560,9.7
"Whitley County, KY",5/20/2020,"13,869","12,330","1,539",11.1
"Wolfe County, KY",5/20/2020,"2,060","1,846",214,10.4
"Woodford County, KY",5/20/2020,"15,161","14,026","1,135",7.5
"Acadia Parish, LA",5/20/2020,"22,885","20,259","2,626",11.5
"Allen Parish, LA",5/20/2020,"8,796","7,434","1,362",15.5
"Ascension Parish, LA",5/20/2020,"61,773","54,419","7,354",11.9
"Assumption Parish, LA",5/20/2020,"8,836","7,510","1,326",15
"Avoyelles Parish, LA",5/20/2020,"14,839","12,836","2,003",13.5
"Beauregard Parish, LA",5/20/2020,"13,919","12,518","1,401",10.1
"Bienville Parish, LA",5/20/2020,"5,139","4,568",571,11.1
"Bossier Parish, LA",5/20/2020,"55,058","48,879","6,179",11.2
"Caddo Parish, LA",5/20/2020,"101,918","86,757","15,161",14.9
"Calcasieu Parish, LA",5/20/2020,"101,953","87,446","14,507",14.2
"Caldwell Parish, LA",5/20/2020,"3,522","3,171",351,10
"Cameron Parish, LA",5/20/2020,"3,556","3,254",302,8.5
"Catahoula Parish, LA",5/20/2020,"3,222","2,909",313,9.7
"Claiborne Parish, LA",5/20/2020,"5,288","4,856",432,8.2
"Concordia Parish, LA",5/20/2020,"6,793","6,008",785,11.6
"De Soto Parish, LA",5/20/2020,"10,109","9,047","1,062",10.5
"East Baton Rouge Parish, LA",5/20/2020,"224,898","195,539","29,359",13.1
"East Carroll Parish, LA",5/20/2020,"1,728","1,484",244,14.1
"East Feliciana Parish, LA",5/20/2020,"7,532","6,751",781,10.4
"Evangeline Parish, LA",5/20/2020,"11,233","9,844","1,389",12.4
"Franklin Parish, LA",5/20/2020,"6,972","6,187",785,11.3
"Grant Parish, LA",5/20/2020,"7,823","7,069",754,9.6
"Iberia Parish, LA",5/20/2020,"27,795","23,837","3,958",14.2
"Iberville Parish, LA",5/20/2020,"13,752","11,727","2,025",14.7
"Jackson Parish, LA",5/20/2020,"6,271","5,761",510,8.1
"Jefferson Parish, LA",5/20/2020,"206,517","170,974","35,543",17.2
"Jefferson Davis Parish, LA",5/20/2020,"12,706","11,107","1,599",12.6
"Lafayette Parish, LA",5/20/2020,"111,164","97,484","13,680",12.3
"Lafourche Parish, LA",5/20/2020,"40,157","35,938","4,219",10.5
"LaSalle Parish, LA",5/20/2020,"6,287","5,844",443,7
"Lincoln Parish, LA",5/20/2020,"19,575","17,612","1,963",10
"Livingston Parish, LA",5/20/2020,"66,290","58,497","7,793",11.8
"Madison Parish, LA",5/20/2020,"3,362","2,931",431,12.8
"Morehouse Parish, LA",5/20/2020,"9,521","8,210","1,311",13.8
"Natchitoches Parish, LA",5/20/2020,"14,910","13,433","1,477",9.9
"Orleans Parish, LA",5/20/2020,"179,291","142,111","37,180",20.7
"Ouachita Parish, LA",5/20/2020,"68,939","60,895","8,044",11.7
"Plaquemines Parish, LA",5/20/2020,"9,278","8,051","1,227",13.2
"Pointe Coupee Parish, LA",5/20/2020,"9,461","8,294","1,167",12.3
"Rapides Parish, LA",5/20/2020,"53,318","48,048","5,270",9.9
"Red River Parish, LA",5/20/2020,"3,480","3,197",283,8.1
"Richland Parish, LA",5/20/2020,"7,721","6,886",835,10.8
"Sabine Parish, LA",5/20/2020,"8,455","7,786",669,7.9
"St. Bernard Parish, LA",5/20/2020,"19,265","15,799","3,466",18
"St. Charles Parish, LA",5/20/2020,"23,487","20,078","3,409",14.5
"St. Helena Parish, LA",5/20/2020,"4,324","3,562",762,17.6
"St. James Parish, LA",5/20/2020,"8,541","7,238","1,303",15.3
"St. John the Baptist Parish, LA",5/20/2020,"19,058","15,470","3,588",18.8
"St. Landry Parish, LA",5/20/2020,"30,987","26,758","4,229",13.6
"St. Martin Parish, LA",5/20/2020,"21,735","18,900","2,835",13
"St. Mary Parish, LA",5/20/2020,"19,240","16,392","2,848",14.8
"St. Tammany Parish, LA",5/20/2020,"110,052","95,558","14,494",13.2
"Tangipahoa Parish, LA",5/20/2020,"54,341","45,053","9,288",17.1
"Tensas Parish, LA",5/20/2020,"1,280","1,139",141,11
"Terrebonne Parish, LA",5/20/2020,"45,244","39,547","5,697",12.6
"Union Parish, LA",5/20/2020,"8,727","7,865",862,9.9
"Vermilion Parish, LA",5/20/2020,"23,139","20,508","2,631",11.4
"Vernon Parish, LA",5/20/2020,"14,886","13,241","1,645",11.1
"Washington Parish, LA",5/20/2020,"16,100","13,975","2,125",13.2
"Webster Parish, LA",5/20/2020,"13,698","12,066","1,632",11.9
"West Baton Rouge Parish, LA",5/20/2020,"13,101","11,562","1,539",11.7
"West Carroll Parish, LA",5/20/2020,"3,369","2,926",443,13.1
"West Feliciana Parish, LA",5/20/2020,"5,012","4,579",433,8.6
"Winn Parish, LA",5/20/2020,"4,450","4,041",409,9.2
"Androscoggin County, ME",5/20/2020,"53,698","48,693","5,005",9.3
"Aroostook County, ME",5/20/2020,"28,828","26,503","2,325",8.1
"Cumberland County, ME",5/20/2020,"156,076","139,839","16,237",10.4
"Franklin County, ME",5/20/2020,"13,712","12,213","1,499",10.9
"Hancock County, ME",5/20/2020,"27,009","24,556","2,453",9.1
"Kennebec County, ME",5/20/2020,"61,126","56,025","5,101",8.3
"Knox County, ME",5/20/2020,"19,616","17,884","1,732",8.8
"Lincoln County, ME",5/20/2020,"16,347","14,988","1,359",8.3
"Oxford County, ME",5/20/2020,"25,595","22,781","2,814",11
"Penobscot County, ME",5/20/2020,"73,265","66,324","6,941",9.5
"Piscataquis County, ME",5/20/2020,"6,966","6,406",560,8
"Sagadahoc County, ME",5/20/2020,"19,371","17,772","1,599",8.3
"Somerset County, ME",5/20/2020,"22,091","19,809","2,282",10.3
"Waldo County, ME",5/20/2020,"19,737","18,225","1,512",7.7
"Washington County, ME",5/20/2020,"13,131","12,106","1,025",7.8
"York County, ME",5/20/2020,"105,995","95,924","10,071",9.5
"Allegany County, MD",5/20/2020,"30,323","26,833","3,490",11.5
"Anne Arundel County, MD",5/20/2020,"301,036","273,512","27,524",9.1
"Baltimore County, MD",5/20/2020,"435,066","391,058","44,008",10.1
"Calvert County, MD",5/20/2020,"47,617","43,949","3,668",7.7
"Caroline County, MD",5/20/2020,"16,942","15,599","1,343",7.9
"Carroll County, MD",5/20/2020,"91,007","83,626","7,381",8.1
"Cecil County, MD",5/20/2020,"49,177","45,008","4,169",8.5
"Charles County, MD",5/20/2020,"84,301","76,232","8,069",9.6
"Dorchester County, MD",5/20/2020,"14,764","13,355","1,409",9.5
"Frederick County, MD",5/20/2020,"130,398","118,426","11,972",9.2
"Garrett County, MD",5/20/2020,"14,909","13,363","1,546",10.4
"Harford County, MD",5/20/2020,"134,209","121,935","12,274",9.1
"Howard County, MD",5/20/2020,"177,323","163,248","14,075",7.9
"Kent County, MD",5/20/2020,"9,699","8,877",822,8.5
"Montgomery County, MD",5/20/2020,"542,859","494,050","48,809",9
"Prince George's County, MD",5/20/2020,"498,709","444,474","54,235",10.9
"Queen Anne's County, MD",5/20/2020,"26,912","24,519","2,393",8.9
"St. Mary's County, MD",5/20/2020,"53,988","50,338","3,650",6.8
"Somerset County, MD",5/20/2020,"8,548","7,652",896,10.5
"Talbot County, MD",5/20/2020,"17,902","16,327","1,575",8.8
"Washington County, MD",5/20/2020,"71,005","63,687","7,318",10.3
"Wicomico County, MD",5/20/2020,"47,899","42,366","5,533",11.6
"Worcester County, MD",5/20/2020,"25,182","20,659","4,523",18
"Baltimore city, MD",5/20/2020,"276,230","244,541","31,689",11.5
"Barnstable County, MA",5/20/2020,"103,782","83,218","20,564",19.8
"Berkshire County, MA",5/20/2020,"59,762","50,301","9,461",15.8
"Bristol County, MA",5/20/2020,"291,760","234,445","57,315",19.6
"Dukes County, MA",5/20/2020,"9,231","7,716","1,515",16.4
"Essex County, MA",5/20/2020,"403,302","329,253","74,049",18.4
"Franklin County, MA",5/20/2020,"37,568","32,532","5,036",13.4
"Hampden County, MA",5/20/2020,"212,128","173,170","38,958",18.4
"Hampshire County, MA",5/20/2020,"79,519","69,379","10,140",12.8
"Middlesex County, MA",5/20/2020,"835,505","722,188","113,317",13.6
"Nantucket County/town, MA",5/20/2020,"7,532","6,216","1,316",17.5
"Norfolk County, MA",5/20/2020,"364,729","305,831","58,898",16.1
"Plymouth County, MA",5/20/2020,"269,531","219,608","49,923",18.5
"Suffolk County, MA",5/20/2020,"432,245","356,122","76,123",17.6
"Worcester County, MA",5/20/2020,"418,908","352,737","66,171",15.8
"Alcona County, MI",5/20/2020,"3,871","3,138",733,18.9
"Alger County, MI",5/20/2020,"3,063","2,398",665,21.7
"Allegan County, MI",5/20/2020,"62,252","51,659","10,593",17
"Alpena County, MI",5/20/2020,"13,488","11,388","2,100",15.6
"Antrim County, MI",5/20/2020,"10,060","7,900","2,160",21.5
"Arenac County, MI",5/20/2020,"6,286","4,838","1,448",23
"Baraga County, MI",5/20/2020,"3,242","2,467",775,23.9
"Barry County, MI",5/20/2020,"31,591","26,412","5,179",16.4
"Bay County, MI",5/20/2020,"50,609","40,517","10,092",19.9
"Benzie County, MI",5/20/2020,"9,280","7,526","1,754",18.9
"Berrien County, MI",5/20/2020,"75,747","61,720","14,027",18.5
"Branch County, MI",5/20/2020,"19,834","16,025","3,809",19.2
"Calhoun County, MI",5/20/2020,"64,919","50,419","14,500",22.3
"Cass County, MI",5/20/2020,"25,330","21,029","4,301",17
"Charlevoix County, MI",5/20/2020,"13,107","10,085","3,022",23.1
"Cheboygan County, MI",5/20/2020,"10,654","7,479","3,175",29.8
"Chippewa County, MI",5/20/2020,"16,751","14,018","2,733",16.3
"Clare County, MI",5/20/2020,"11,734","8,908","2,826",24.1
"Clinton County, MI",5/20/2020,"40,641","34,246","6,395",15.7
"Crawford County, MI",5/20/2020,"5,552","4,243","1,309",23.6
"Delta County, MI",5/20/2020,"17,890","14,843","3,047",17
"Dickinson County, MI",5/20/2020,"13,440","11,785","1,655",12.3
"Eaton County, MI",5/20/2020,"57,829","47,165","10,664",18.4
"Emmet County, MI",5/20/2020,"19,339","15,088","4,251",22
"Genesee County, MI",5/20/2020,"193,348","145,605","47,743",24.7
"Gladwin County, MI",5/20/2020,"9,624","7,649","1,975",20.5
"Gogebic County, MI",5/20/2020,"6,293","5,428",865,13.7
"Grand Traverse County, MI",5/20/2020,"52,453","42,836","9,617",18.3
"Gratiot County, MI",5/20/2020,"18,546","15,359","3,187",17.2
"Hillsdale County, MI",5/20/2020,"20,773","16,051","4,722",22.7
"Houghton County, MI",5/20/2020,"16,468","14,187","2,281",13.9
"Huron County, MI",5/20/2020,"16,444","13,432","3,012",18.3
"Ingham County, MI",5/20/2020,"148,528","124,453","24,075",16.2
"Ionia County, MI",5/20/2020,"29,953","23,792","6,161",20.6
"Iosco County, MI",5/20/2020,"10,616","8,403","2,213",20.8
"Iron County, MI",5/20/2020,"5,582","4,845",737,13.2
"Isabella County, MI",5/20/2020,"36,339","30,018","6,321",17.4
"Jackson County, MI",5/20/2020,"76,762","61,229","15,533",20.2
"Kalamazoo County, MI",5/20/2020,"133,873","113,541","20,332",15.2
"Kalkaska County, MI",5/20/2020,"8,597","6,670","1,927",22.4
"Kent County, MI",5/20/2020,"362,634","299,853","62,781",17.3
"Keweenaw County, MI",5/20/2020,920,762,158,17.2
"Lake County, MI",5/20/2020,"3,863","3,021",842,21.8
"Lapeer County, MI",5/20/2020,"38,615","28,288","10,327",26.7
"Leelanau County, MI",5/20/2020,"10,965","9,090","1,875",17.1
"Lenawee County, MI",5/20/2020,"46,918","36,357","10,561",22.5
"Livingston County, MI",5/20/2020,"90,190","72,379","17,811",19.7
"Luce County, MI",5/20/2020,"2,460","2,094",366,14.9
"Mackinac County, MI",5/20/2020,"4,638","3,231","1,407",30.3
"Macomb County, MI",5/20/2020,"415,176","309,371","105,805",25.5
"Manistee County, MI",5/20/2020,"10,333","7,878","2,455",23.8
"Marquette County, MI",5/20/2020,"33,422","27,457","5,965",17.8
"Mason County, MI",5/20/2020,"13,677","11,089","2,588",18.9
"Mecosta County, MI",5/20/2020,"19,284","15,680","3,604",18.7
"Menominee County, MI",5/20/2020,"11,134","9,724","1,410",12.7
"Midland County, MI",5/20/2020,"40,430","34,023","6,407",15.8
"Missaukee County, MI",5/20/2020,"7,351","5,940","1,411",19.2
"Monroe County, MI",5/20/2020,"77,904","61,231","16,673",21.4
"Montcalm County, MI",5/20/2020,"29,333","23,443","5,890",20.1
"Montmorency County, MI",5/20/2020,"3,004","2,246",758,25.2
"Muskegon County, MI",5/20/2020,"83,386","62,745","20,641",24.8
"Newaygo County, MI",5/20/2020,"23,803","19,250","4,553",19.1
"Oakland County, MI",5/20/2020,"584,007","471,034","112,973",19.3
"Oceana County, MI",5/20/2020,"11,920","9,433","2,487",20.9
"Ogemaw County, MI",5/20/2020,"8,401","6,653","1,748",20.8
"Ontonagon County, MI",5/20/2020,"2,065","1,623",442,21.4
"Osceola County, MI",5/20/2020,"12,016","9,806","2,210",18.4
"Oscoda County, MI",5/20/2020,"3,079","2,308",771,25
"Otsego County, MI",5/20/2020,"12,077","9,329","2,748",22.8
"Ottawa County, MI",5/20/2020,"160,845","134,828","26,017",16.2
"Presque Isle County, MI",5/20/2020,"4,845","3,779","1,066",22
"Roscommon County, MI",5/20/2020,"7,825","5,829","1,996",25.5
"Saginaw County, MI",5/20/2020,"89,049","70,517","18,532",20.8
"St. Clair County, MI",5/20/2020,"70,070","52,120","17,950",25.6
"St. Joseph County, MI",5/20/2020,"30,132","24,260","5,872",19.5
"Sanilac County, MI",5/20/2020,"20,391","15,735","4,656",22.8
"Schoolcraft County, MI",5/20/2020,"3,599","3,040",559,15.5
"Shiawassee County, MI",5/20/2020,"33,791","26,381","7,410",21.9
"Tuscola County, MI",5/20/2020,"24,204","18,570","5,634",23.3
"Van Buren County, MI",5/20/2020,"35,819","29,821","5,998",16.7
"Washtenaw County, MI",5/20/2020,"197,655","170,264","27,391",13.9
"Wayne County, MI",5/20/2020,"737,185","541,570","195,615",26.5
"Wexford County, MI",5/20/2020,"15,993","12,460","3,533",22.1
"Aitkin County, MN",5/20/2020,"7,117","6,338",779,10.9
"Anoka County, MN",5/20/2020,"195,974","176,786","19,188",9.8
"Becker County, MN",5/20/2020,"18,575","16,966","1,609",8.7
"Beltrami County, MN",5/20/2020,"24,131","21,954","2,177",9
"Benton County, MN",5/20/2020,"22,201","20,128","2,073",9.3
"Big Stone County, MN",5/20/2020,"2,357","2,236",121,5.1
"Blue Earth County, MN",5/20/2020,"40,162","36,710","3,452",8.6
"Brown County, MN",5/20/2020,"14,155","13,173",982,6.9
"Carlton County, MN",5/20/2020,"17,543","15,637","1,906",10.9
"Carver County, MN",5/20/2020,"57,328","52,683","4,645",8.1
"Cass County, MN",5/20/2020,"14,218","12,457","1,761",12.4
"Chippewa County, MN",5/20/2020,"6,705","6,264",441,6.6
"Chisago County, MN",5/20/2020,"29,385","26,663","2,722",9.3
"Clay County, MN",5/20/2020,"36,158","34,199","1,959",5.4
"Clearwater County, MN",5/20/2020,"4,245","3,780",465,11
"Cook County, MN",5/20/2020,"3,086","2,664",422,13.7
"Cottonwood County, MN",5/20/2020,"5,924","5,601",323,5.5
"Crow Wing County, MN",5/20/2020,"32,004","28,654","3,350",10.5
"Dakota County, MN",5/20/2020,"240,727","216,535","24,192",10
"Dodge County, MN",5/20/2020,"11,948","10,967",981,8.2
"Douglas County, MN",5/20/2020,"20,571","19,151","1,420",6.9
"Faribault County, MN",5/20/2020,"6,870","6,276",594,8.6
"Fillmore County, MN",5/20/2020,"11,579","10,749",830,7.2
"Freeborn County, MN",5/20/2020,"16,131","14,795","1,336",8.3
"Goodhue County, MN",5/20/2020,"27,033","24,411","2,622",9.7
"Grant County, MN",5/20/2020,"3,236","3,053",183,5.7
"Hennepin County, MN",5/20/2020,"705,938","633,344","72,594",10.3
"Houston County, MN",5/20/2020,"9,892","9,313",579,5.9
"Hubbard County, MN",5/20/2020,"9,571","8,712",859,9
"Isanti County, MN",5/20/2020,"20,865","18,896","1,969",9.4
"Itasca County, MN",5/20/2020,"21,206","18,623","2,583",12.2
"Jackson County, MN",5/20/2020,"5,610","5,292",318,5.7
"Kanabec County, MN",5/20/2020,"8,814","7,987",827,9.4
"Kandiyohi County, MN",5/20/2020,"23,560","22,125","1,435",6.1
"Kittson County, MN",5/20/2020,"2,336","2,172",164,7
"Koochiching County, MN",5/20/2020,"5,637","5,070",567,10.1
"Lac qui Parle County, MN",5/20/2020,"3,470","3,302",168,4.8
"Lake County, MN",5/20/2020,"5,423","4,750",673,12.4
"Lake of the Woods County, MN",5/20/2020,"2,339","2,147",192,8.2
"Le Sueur County, MN",5/20/2020,"15,703","14,339","1,364",8.7
"Lincoln County, MN",5/20/2020,"3,127","2,997",130,4.2
"Lyon County, MN",5/20/2020,"14,047","13,290",757,5.4
"McLeod County, MN",5/20/2020,"18,674","17,282","1,392",7.5
"Mahnomen County, MN",5/20/2020,"2,528","2,072",456,18
"Marshall County, MN",5/20/2020,"5,225","4,836",389,7.4
"Martin County, MN",5/20/2020,"9,794","9,121",673,6.9
"Meeker County, MN",5/20/2020,"12,898","12,109",789,6.1
"Mille Lacs County, MN",5/20/2020,"12,709","11,326","1,383",10.9
"Morrison County, MN",5/20/2020,"17,284","15,867","1,417",8.2
"Mower County, MN",5/20/2020,"20,351","18,913","1,438",7.1
"Murray County, MN",5/20/2020,"4,533","4,301",232,5.1
"Nicollet County, MN",5/20/2020,"20,529","19,025","1,504",7.3
"Nobles County, MN",5/20/2020,"11,146","10,513",633,5.7
"Norman County, MN",5/20/2020,"3,251","2,995",256,7.9
"Olmsted County, MN",5/20/2020,"90,720","81,789","8,931",9.8
"Otter Tail County, MN",5/20/2020,"30,053","28,085","1,968",6.5
"Pennington County, MN",5/20/2020,"8,466","7,681",785,9.3
"Pine County, MN",5/20/2020,"14,954","13,170","1,784",11.9
"Pipestone County, MN",5/20/2020,"4,619","4,404",215,4.7
"Polk County, MN",5/20/2020,"16,393","15,152","1,241",7.6
"Pope County, MN",5/20/2020,"6,327","5,977",350,5.5
"Ramsey County, MN",5/20/2020,"289,863","259,152","30,711",10.6
"Red Lake County, MN",5/20/2020,"2,171","1,980",191,8.8
"Redwood County, MN",5/20/2020,"7,690","7,020",670,8.7
"Renville County, MN",5/20/2020,"8,359","7,751",608,7.3
"Rice County, MN",5/20/2020,"36,637","33,900","2,737",7.5
"Rock County, MN",5/20/2020,"5,564","5,328",236,4.2
"Roseau County, MN",5/20/2020,"7,772","7,121",651,8.4
"St. Louis County, MN",5/20/2020,"101,091","89,632","11,459",11.3
"Scott County, MN",5/20/2020,"83,249","74,973","8,276",9.9
"Sherburne County, MN",5/20/2020,"51,386","46,745","4,641",9
"Sibley County, MN",5/20/2020,"8,359","7,785",574,6.9
"Stearns County, MN",5/20/2020,"91,462","83,578","7,884",8.6
"Steele County, MN",5/20/2020,"21,056","19,418","1,638",7.8
"Stevens County, MN",5/20/2020,"5,144","4,970",174,3.4
"Swift County, MN",5/20/2020,"4,691","4,425",266,5.7
"Todd County, MN",5/20/2020,"13,390","12,497",893,6.7
"Traverse County, MN",5/20/2020,"1,745","1,667",78,4.5
"Wabasha County, MN",5/20/2020,"12,496","11,430","1,066",8.5
"Wadena County, MN",5/20/2020,"5,928","5,396",532,9
"Waseca County, MN",5/20/2020,"8,907","8,148",759,8.5
"Washington County, MN",5/20/2020,"141,320","128,599","12,721",9
"Watonwan County, MN",5/20/2020,"6,378","6,001",377,5.9
"Wilkin County, MN",5/20/2020,"3,480","3,302",178,5.1
"Winona County, MN",5/20/2020,"28,238","26,163","2,075",7.3
"Wright County, MN",5/20/2020,"73,697","67,689","6,008",8.2
"Yellow Medicine County, MN",5/20/2020,"5,208","4,904",304,5.8
"Adams County, MS",5/20/2020,"10,776","9,480","1,296",12
"Alcorn County, MS",5/20/2020,"14,887","13,840","1,047",7
"Amite County, MS",5/20/2020,"4,249","3,900",349,8.2
"Attala County, MS",5/20/2020,"6,712","6,092",620,9.2
"Benton County, MS",5/20/2020,"2,796","2,535",261,9.3
"Bolivar County, MS",5/20/2020,"11,664","10,763",901,7.7
"Calhoun County, MS",5/20/2020,"5,659","5,182",477,8.4
"Carroll County, MS",5/20/2020,"3,275","2,998",277,8.5
"Chickasaw County, MS",5/20/2020,"6,883","5,948",935,13.6
"Choctaw County, MS",5/20/2020,"3,508","3,284",224,6.4
"Claiborne County, MS",5/20/2020,"2,943","2,445",498,16.9
"Clarke County, MS",5/20/2020,"5,587","5,037",550,9.8
"Clay County, MS",5/20/2020,"7,773","6,653","1,120",14.4
"Coahoma County, MS",5/20/2020,"8,515","7,256","1,259",14.8
"Copiah County, MS",5/20/2020,"10,495","9,554",941,9
"Covington County, MS",5/20/2020,"7,560","6,983",577,7.6
"DeSoto County, MS",5/20/2020,"83,350","76,910","6,440",7.7
"Forrest County, MS",5/20/2020,"31,633","28,522","3,111",9.8
"Franklin County, MS",5/20/2020,"2,710","2,472",238,8.8
"George County, MS",5/20/2020,"8,555","7,623",932,10.9
"Greene County, MS",5/20/2020,"4,228","3,792",436,10.3
"Grenada County, MS",5/20/2020,"8,979","8,253",726,8.1
"Hancock County, MS",5/20/2020,"17,706","15,560","2,146",12.1
"Harrison County, MS",5/20/2020,"85,107","71,968","13,139",15.4
"Hinds County, MS",5/20/2020,"103,362","90,717","12,645",12.2
"Holmes County, MS",5/20/2020,"5,886","4,666","1,220",20.7
"Humphreys County, MS",5/20/2020,"2,322","2,010",312,13.4
